n_articles,articles,authors,title,work,publisher,year,identifier,url,unlinked,type
4,Dunhuang; Gandhara; Kushan Empire; Sogdia,"Dani, Ahmad Hasan; Litvinsky, B. A.","History of Civilizations of Central Asia: The crossroads of civilizations, A.D. 250 to 750",,UNESCO,1996,9789231032110,https://books.google.com/books?id=883OZBe2sMYC&pg=PA122,False,cite book
3,Dunhuang; Dunhuang manuscripts; Mogao Caves,Tim Pepper; Noelle Watson; Paul Schellinger; Trudy Ring,Asia and Oceania: International Dictionary of Historic Places,,Routledge,1996,978-1884964046,https://books.google.com/books?id=voerPYsAB5wC&pg=PA239,False,cite book
3,Gandhara; Kushan Empire; Sogdia,"Rezakhani, Khodadad",ReOrienting the Sasanians: East Iran in Late Antiquity,,Edinburgh University Press,2017,9781474400305,https://books.google.com/books?id=bjRWDwAAQBAJ&q=false,False,cite book
3,Gandhara; Greco-Buddhist art; Kushan Empire,"Schwartzberg, Joseph E.",A Historical atlas of South Asia,,University of Chicago Press,1978,0226742210,https://dsal.uchicago.edu/reference/schwartzberg/pager.html?object=052,False,cite book
2,Dunhuang manuscripts; Mogao Caves,"Rong, Xinjiang",The Nature of the Dunhuang Library Cave and the Reasons for its Sealing,Cahiers d'Extrême-Asie,,1999,10.3406/asie.1999.1155,,True,cite journal
2,Dunhuang manuscripts; Sogdia,Jacques Gernet,A History of Chinese Civilization,,Cambridge University Press,31 May 1996,978-0-521-49781-7,https://archive.org/details/historyofchinese00gern,False,cite book
2,Gandhara; Kushan Empire,Burton Stein,A History of India,,John Wiley & Sons,2010,978-1-4443-2351-1,https://books.google.com/books?id=QY4zdTDwMAQC&pg=PA86,False,cite book
2,Gandhara; Kushan Empire,Peter Robb,A History of India,,Macmillan International Higher Education,2011,978-0-230-34549-2,https://books.google.com/books?id=GQ-2VH1LO_EC&pg=PA55,False,cite book
2,Gandhara; Kushan Empire,Hermann Kulke; Dietmar Rothermund,A History of India,,Taylor & Francis,2016,978-1-317-24212-3,https://books.google.com/books?id=xYelDQAAQBAJ,False,cite book
2,Gandhara; Kushan Empire,"Sen, Sailendra Nath",Ancient Indian History and Civilization,,New Age International,1999,978-81-224-1198-0,https://books.google.com/books?id=Wk4_ICH_g1EC&pg=PA199,False,cite book
2,Dunhuang manuscripts; Mogao Caves,Wenjie Duan,Dunhuang Art: Through the Eyes of Duan Wenjie,,Abhinav Publications,1 January 1994,978-81-7017-313-7,,True,cite book
2,Gandhara; Kushan Empire,Romila Thapar,Early India: From the Origins to AD 1300,,University of California Press,2004,978-0-520-24225-8,https://books.google.com/books?id=-5irrXX0apQC&pg=PA221,False,cite book
2,Gandhara; Kushan Empire,"Higham, Charles",Encyclopedia of Ancient Asian Civilizations,,Infobase Publishing,2014,978-1-4381-0996-1,https://books.google.com/books?id=H1c1UIEVH9gC&pg=PA209,False,citation
2,Dunhuang manuscripts; Mogao Caves,Peter Hopkirk,Foreign Devils on the Silk Road,,John Murray,2006,978-0-7195-6448-2,https://books.google.com/books?id=DoxsQDBQHYEC,False,cite book
2,Kushan Empire; Silk Road,"Grousset, Rene",The Empire of the Steppes,,[[Rutgers University Press]],1970,978-0-8135-1304-1,https://archive.org/details/empireofsteppesh00prof/page/36,False,cite book
2,Dunhuang manuscripts; Sogdia,"Hansen, Valerie",The Silk Road: A New History,,Oxford University Press,2015,978-0-19-021842-3,https://books.google.com/books?id=FDdRDAAAQBAJ&pg=PA157,False,cite book
2,Mogao Caves; Sogdia,"Whitfield, Susan","The Silk Road: Trade, Travel, War and Faith",,"British Library. Serindia Publications, Inc.",2004,978-1-932476-13-2,https://books.google.com/books?id=ArWLD4Qop38C&pg=PA110,False,cite book
2,Silk Road; Sogdia,"Wood, Francis",The Silk Road: Two Thousand Years in the Heart of Asia,,University of California Press,2002,978-0-520-24340-8,https://archive.org/details/silkroadtwothous0000wood,False,cite book
2,Gandhara; Greco-Buddhist art,Ann Heirman; Stephan Peter Bumbacher,The Spread of Buddhism,,BRILL,11 May 2007,978-90-474-2006-4,https://books.google.com/books?id=NuOvCQAAQBAJ,False,cite book
2,Gandhara; Kushan Empire,"Di Castro, Angelo Andrea; Hope, Colin A.",Cultural Interaction in Afghanistan c 300 BCE to 300 CE,,Monash University Press,2005,978-1876924393,,True,cite book
2,Kushan Empire; Sogdia,"Ilyasov, Djangar",Splendeurs des oasis d'Ouzbékistan,,Louvre Editions,2022,978-8412527858,,True,cite book
2,Gandhara; Sogdia,"Dean, Riaz","The Stone Tower: Ptolemy, the Silk Road, and a 2,000-Year-Old Riddle",,Penguin Viking,2022,978-0670093625,,True,cite book
2,Gandhara; Kushan Empire,"O'Brien, Patrick Karl",Atlas of World History,,Oxford University Press,2002,9780195219210,https://books.google.com/books?id=ffZy5tDjaUkC&pg=PA43,False,cite book
2,Gandhara; Mogao Caves,"Le, Huu Phuoc",Buddhist Architecture,,Grafikol,2010,9780984404308,https://books.google.com/books?id=9jb364g4BvoC&pg=PA180,False,cite book
2,Dunhuang; Mogao Caves,"Susan Whitfield; Neville Agnew; Whitfield, Roderick",Cave Temples of Dunhuang: Art and History on the Silk Road,,The British Library,2000,0-7123-4697-X,,True,cite book
2,Greco-Buddhist art; Silk Road,,Maritime Buddhism,Oxford Research Encyclopedia of Religion,[[Oxford University Press]],20 December 2018,9780199340378,https://oxfordre.com/religion/view/10.1093/acrefore/9780199340378.001.0001/acrefore-9780199340378-e-638,False,cite encyclopedia
2,Gandhara; Kushan Empire,"Lerner, Martin",The flame and the lotus: Indian and Southeast Asian art from the Kronos collections,,The Metropolitan Museum of Art,1984,0-87099-374-7,http://libmma.contentdm.oclc.org/cdm/compoundobject/collection/p15324coll10/id/105494,False,cite book
2,Kushan Empire; Sogdia,"Abdullaev, Kazim",Nomad Migration in Central Asia (in After Alexander: Central Asia before Islam),Proceedings of the British Academy,,2007,,https://www.academia.edu/6864202,False,cite journal
2,Gandhara; Kushan Empire,"Ghosh, Amalananda",Taxila,,CUP Archive,1965,,https://books.google.com/books?id=0NA3AAAAIAAJ&pg=PA791,False,cite book
2,Dunhuang; Mogao Caves,,The International Dunhuang Project,,[[International Dunhuang Project]],,,http://idp.bl.uk/,False,cite web
2,Dunhuang manuscripts; Mogao Caves,,The Provenance and Character of the Dunhuang Documents,,,,,http://www.toyo-bunko.or.jp/newresearch/upload/2010011510422259.pdf,False,cite web
2,Kushan Empire; Sogdia,"Yatsenko, Sergey A.","Yuezhi on Bactrian Embroidery from Textiles Found at Noyon uul, Mongolia",The Silk Road,,2012,,http://www.silkroadfoundation.org/newsletter/vol10/SilkRoad_10_2012_yatsenko.pdf,False,cite journal
1,Sogdia,"de la Vaissière, Etienne; S. F. Johnson",Oxford Handbook of Late Antiquity,,Oxford University Press,2012,"978-0-19-533693-1<!--ISBN comes from title page, not Google Books.-->",https://books.google.com/books?id=KZNoAgAAQBAJ,False,cite book
1,Sogdia,"Fedorov, Michael",ON THE PORTRAITS OF THE SOGDIAN KINGS (IKHSHĪDS) OF SAMARQAND,Iran,,2007,10.1080/05786967.2007.11864723,https://www.jstor.org/stable/25651416,False,cite journal
1,Silk Road,"Enkhbold, Enerelt",The role of the ''ortoq'' in the Mongol Empire in forming business partnerships,Central Asian Survey,,2019,10.1080/02634937.2019.1652799,https://www.tandfonline.com/doi/full/10.1080/02634937.2019.1652799,False,cite journal
1,Silk Road,"Xu, Siwen; Qiao, Baotong; Yang, Yimin","The rise of the Maritime Silk Road about 2000 years ago: Insights from Indo-Pacific beads in Nanyang, Central China",Journal of Archaeological Science: Reports,,2022,10.1016/j.jasrep.2022.103383,,True,cite journal
1,Mogao Caves,"Abrams, Jerold J.",Ancient Chinese cave paintings as cinema: the volcanos and dragons of Mogao Cave 249,International Communication of Chinese Culture,,2021,10.1007/s40636-021-00217-1,,True,cite journal
1,Sogdia,"Hansen, Valerie","New Work on the Sogdians, the Most Important Traders on the Silk Road, A.D. 500–1000",T'oung Pao,,2003,10.1163/156853203322691347,,True,cite journal
1,Sogdia,"Wang, Tingting; Fuller, Benjamin T.; Jiang, Hongen; Li, Wenying; Wei, Dong; Hu, Yaowu",Revealing lost secrets about Yingpan Man and the Silk Road,Scientific Reports,,13 January 2022,10.1038/s41598-021-04383-5,,True,cite journal
